name,position,price,assists,points,goals,goals_inside_box,goals_outside_box,shots,shots_inside_box,shots_on_target
Salah,MID,13.3,7,149,13,13,0,67,49,33
Kane,FWD,12.6,3,118,13,11,2,64,46,32
Aubameyang,FWD,11.4,3,123,13,11,2,47,34,22
Sterling,MID,11.3,6,122,9,8,1,35,28,19
Agüero,FWD,11.2,5,92,9,8,1,63,50,21
Hazard,MID,11.1,9,136,10,10,0,51,33,23
Lukaku,FWD,10.7,0,66,7,7,0,29,28,17
Jesus,FWD,10.1,2,43,3,3,0,27,26,15
Alexis_Sánchez,MID,10,2,29,1,1,0,13,10,7
De_Bruyne,MID,9.7,0,13,1,0,1,4,0,3
Mané,MID,9.5,1,103,8,8,0,42,33,20
Sané,MID,9.5,7,97,6,6,0,34,25,16
Lacazette,FWD,9.4,5,88,7,5,2,35,24,14
Eriksen,MID,9.3,7,72,3,1,2,28,9,12
Firmino,FWD,9.1,3,94,7,7,0,45,32,20
Vardy,FWD,8.9,2,68,6,6,0,34,34,19
Alli,MID,8.9,1,60,4,4,0,19,16,10
Son,MID,8.8,4,91,7,5,2,35,22,15
David_Silva,MID,8.5,2,83,6,5,1,31,25,13
Morata,FWD,8.4,0,44,5,5,0,32,26,14
Mahrez,MID,8.4,2,69,5,4,1,35,27,16
Pogba,MID,8.2,6,97,7,6,1,53,23,30
Özil,MID,8,1,53,3,3,0,6,5,3
Giroud,FWD,7.7,4,39,1,1,0,22,21,7
Bernardo_Silva,MID,7.5,5,91,5,5,0,29,22,9
Felipe_Anderson,MID,7.4,2,103,8,6,2,34,19,18
Sigurdsson,MID,7.3,3,97,8,6,2,47,26,18
Martial,MID,7.3,1,82,8,7,1,20,17,13
Willian,MID,7.2,3,68,2,0,2,36,21,15
Ramsey,MID,7.2,6,50,1,1,0,17,10,8
Rashford,FWD,7.2,6,67,5,3,2,29,19,17
Shaqiri,MID,7.1,2,74,6,5,1,24,11,10
Richarlison,MID,7,1,95,9,9,0,43,33,18
Arnautovic,FWD,6.9,2,61,5,4,1,36,26,17
Lucas_Moura,MID,6.9,0,84,6,6,0,24,20,10
Lingard,MID,6.9,2,57,4,4,0,21,12,10
Maddison,MID,6.8,3,76,5,3,2,36,13,16
Antonio,MID,6.8,2,49,2,2,0,32,22,11
