name,position,price,assists,points,goals,goals_in_box,goals-outside_box,shots,shots_in_the_box,shots_on_target
Salah,MID,13.3,7,151,13,13,0,68,50,34
Kane,FWD,12.6,4,130,14,12,2,70,51,33
Aubameyang,FWD,11.4,3,132,14,12,2,53,40,24
Sterling,MID,11.3,7,127,9,8,1,36,29,19
Agüero,FWD,11.2,5,98,10,9,1,66,52,23
Hazard,MID,11.1,9,139,10,10,0,55,37,25
Lukaku,FWD,10.7,0,71,8,8,0,31,30,19
Jesus,FWD,10.1,2,43,3,3,0,27,26,15
Sánchez,MID,10,3,33,1,1,0,14,10,7
De Bruyne,MID,9.7,0,13,1,0,1,4,0,3
Sané,MID,9.5,7,107,7,7,0,35,26,17
Mané,MID,9.5,1,105,8,8,0,44,35,21
Lacazette,FWD,9.4,5,94,8,6,2,38,27,17
Eriksen,MID,9.3,7,81,4,1,3,29,9,13
Firmino,FWD,9.1,3,102,8,8,0,47,35,22
Vardy,FWD,8.9,2,76,7,7,0,36,36,20
Alli,MID,8.9,1,63,4,4,0,20,17,10
Son,MID,8.8,5,104,8,6,2,38,24,17
David Silva,MID,8.5,2,85,6,5,1,32,26,13
Morata,FWD,8.4,0,46,5,5,0,35,29,16
Pogba,MID,8.4,6,100,7,6,1,56,25,31
Mahrez,MID,8.3,2,69,5,4,1,35,27,16
Özil,MID,8,1,53,3,3,0,6,5,3
Giroud,FWD,7.7,4,39,1,1,0,22,21,7
Bernardo Silva,MID,7.5,6,95,5,5,0,30,23,10
Felipe Anderson,MID,7.4,2,105,8,6,2,36,20,19
Martial,MID,7.3,1,85,8,7,1,22,19,13
Sigurdsson,MID,7.3,3,99,8,6,2,50,28,18
Ramsey,MID,7.2,6,56,2,2,0,18,11,9
Willian,MID,7.2,3,69,2,0,2,37,22,15
Rashford,FWD,7.2,6,79,6,4,2,36,23,21
Shaqiri,MID,7.1,2,75,6,5,1,24,11,10
Richarlison,MID,6.9,1,97,9,9,0,47,37,18
Lucas Moura,MID,6.9,0,84,6,6,0,24,20,10
Arnautovic,FWD,6.9,2,74,7,6,1,41,28,21
Alonso,DEF,6.8,3,117,1,1,0,31,16,5
Lingard,MID,6.8,2,58,4,4,0,21,12,10
Antonio,MID,6.8,3,53,2,2,0,34,23,12
Maddison,MID,6.8,3,76,5,3,2,36,13,16
Zaha,FWD,6.7,0,57,3,3,0,38,26,11
Mkhitaryan,MID,6.7,1,51,4,1,3,30,16,7
Groß,MID,6.7,1,32,1,1,0,9,6,4
Wilson,FWD,6.7,5,105,9,9,0,42,43,18
Yarmolenko,MID,6.7,0,27,3,3,0,9,7,4
Mitrovic,FWD,6.6,2,87,8,8,0,76,57,30
Tosun,FWD,6.5,2,33,2,2,0,26,20,12
Murray,FWD,6.4,0,74,8,8,0,25,25,13
van Dijk,DEF,6.4,1,106,1,1,0,19,16,6
Welbeck,FWD,6.4,1,19,1,1,0,4,4,2
Jiménez,FWD,6.4,4,95,6,6,0,65,49,23
Walker,DEF,6.4,0,68,1,0,1,11,0,3
King,FWD,6.3,2,69,5,5,0,35,30,10
Pedro,MID,6.3,1,71,6,6,0,30,22,12
Pereyra,MID,6.3,2,99,6,5,1,43,31,16
Wood,FWD,6.2,0,46,3,3,0,28,24,11
Mata,MID,6.2,2,44,2,1,1,12,7,4
Lucas Pérez,FWD,6.2,0,22,2,2,0,7,6,2
Chicharito,FWD,6.2,1,50,4,4,0,21,18,11
Milivojevic,MID,6.1,0,85,6,5,1,36,8,16
Fraser,MID,6.1,9,109,5,5,0,26,15,13
Lamela,MID,6.1,2,49,4,4,0,22,16,10
Trippier,DEF,6.1,3,81,1,0,1,6,2,3
Ayoze Pérez,FWD,6.1,1,54,2,2,0,20,15,10
Walcott,MID,6.1,2,72,3,3,0,27,21,14
Sessegnon,MID,6,5,61,2,2,0,19,16,7
Stanislas,MID,6,2,36,1,1,0,27,11,7
Rüdiger,DEF,6,0,90,1,1,0,21,15,5
Jota,MID,5.9,1,48,2,2,0,21,15,8
David Luiz,DEF,5.9,1,97,1,1,0,20,13,5
Doucouré,MID,5.9,5,78,3,3,0,32,18,11
Vertonghen,DEF,5.9,0,28,1,1,0,4,3,1
Andre Gray,FWD,5.9,0,35,3,3,0,18,16,8
Laporte,DEF,5.9,0,75,1,1,0,17,10,3
