name,position,price,assists,points,goals,goals_in_box,goals-outside_box,shots,shots_in_the_box,shots_on_target
Salah,MID,13.4,7,162,14,14,0,71,53,36
Kane,FWD,12.6,4,132,14,12,2,77,55,37
Aubameyang,FWD,11.3,3,134,14,12,2,56,42,24
Sterling,MID,11.3,7,133,9,8,1,39,33,21
Agüero,FWD,11.2,5,99,10,9,1,67,53,23
Hazard,MID,11.1,10,144,10,10,0,56,38,25
Lukaku,FWD,10.7,0,72,8,8,0,32,31,19
Jesus,FWD,10.1,2,56,5,5,0,30,29,17
Sánchez,MID,10,3,33,1,1,0,14,10,7
De_Bruyne,MID,9.7,0,17,1,0,1,6,1,4
Sané,MID,9.6,8,115,7,7,0,39,28,17
Mané,MID,9.5,1,108,8,8,0,45,36,21
Lacazette,FWD,9.3,5,96,8,6,2,42,30,18
Eriksen,MID,9.3,7,83,4,1,3,32,9,14
Firmino,FWD,9.2,3,104,8,8,0,49,36,23
Alli,MID,8.9,1,64,4,4,0,24,21,13
Vardy,FWD,8.9,2,78,7,7,0,38,38,20
Son,MID,8.7,5,106,8,6,2,40,25,18
David_Silva,MID,8.5,2,88,6,5,1,33,26,14
Pogba,MID,8.5,7,105,7,6,1,62,29,36
Morata,FWD,8.4,0,46,5,5,0,35,29,16
Mahrez,MID,8.3,2,69,5,4,1,35,27,16
Özil,MID,8,1,53,3,3,0,6,5,3
Giroud,FWD,7.7,4,40,1,1,0,22,21,7
Bernardo_Silva,MID,7.6,6,98,5,5,0,31,24,10
Rashford,FWD,7.4,6,86,7,5,2,39,25,23
Felipe_Anderson,MID,7.3,2,108,8,6,2,38,20,19
Martial,MID,7.3,1,88,8,7,1,24,20,14
Sigurdsson,MID,7.3,3,102,8,6,2,51,28,18
Willian,MID,7.2,3,77,3,1,2,40,25,17
Ramsey,MID,7.2,6,57,2,2,0,18,11,9
Shaqiri,MID,7.1,2,78,6,5,1,25,12,10
Richarlison,MID,6.9,1,99,9,9,0,51,41,19
Arnautovic,FWD,6.9,2,76,7,6,1,42,29,21
Lucas_Moura,MID,6.8,0,84,6,6,0,24,20,10
Lingard,MID,6.8,2,61,4,4,0,22,13,10
Antonio,MID,6.8,3,56,2,2,0,36,24,13
Maddison,MID,6.8,3,77,5,3,2,42,13,17
Alonso,DEF,6.7,3,119,1,1,0,31,16,5
Mkhitaryan,MID,6.7,1,51,4,1,3,30,16,7
Groß,MID,6.7,1,34,1,1,0,10,7,4
Zaha,FWD,6.7,0,59,3,3,0,44,30,14
Yarmolenko,MID,6.7,0,27,3,3,0,9,7,4
Mitrovic,FWD,6.6,2,89,8,8,0,77,58,30
Wilson,FWD,6.6,5,105,9,9,0,42,43,18
Tosun,FWD,6.5,2,33,2,2,0,26,20,12
Jiménez,FWD,6.4,4,96,6,6,0,65,49,23
van_Dijk,DEF,6.4,1,113,1,1,0,19,16,6
Welbeck,FWD,6.4,1,19,1,1,0,4,4,2
Walker,DEF,6.4,0,74,1,0,1,13,0,4
King,FWD,6.3,2,71,5,5,0,39,34,12
Pedro,MID,6.3,1,80,7,7,0,34,25,16
Murray,FWD,6.3,0,76,8,8,0,26,26,13
Pereyra,MID,6.3,2,100,6,5,1,45,32,16
Wood,FWD,6.2,0,48,3,3,0,31,25,11
Mata,MID,6.2,2,44,2,1,1,12,7,4
Lucas_Perez,FWD,6.2,0,22,2,2,0,7,6,2
Trippier,DEF,6.1,3,83,1,0,1,6,2,3
Fraser,MID,6.1,9,111,5,5,0,27,16,14
Lamela,MID,6.1,2,50,4,4,0,22,16,10
Walcott,MID,6.1,2,73,3,3,0,27,21,14
Pérez,MID,6.1,1,56,2,2,0,21,16,10
Chicharito,FWD,6.1,1,50,4,4,0,21,18,11
Milivojevic,MID,6.1,0,86,6,5,1,39,8,18
Sessegnon,MID,6,5,62,2,2,0,20,17,7
Rüdiger,DEF,6,0,92,1,1,0,21,15,5
Stanislas,MID,6,2,38,1,1,0,28,11,8
Doucouré,MID,5.9,5,80,3,3,0,34,18,11
Deeney,FWD,5.9,2,66,5,5,0,37,30,18
Laporte,DEF,5.9,0,81,1,1,0,17,10,3
Andre_Gray,FWD,5.9,0,35,3,3,0,18,16,8
David_Luiz,DEF,5.9,2,105,1,1,0,22,14,5
Jota,MID,5.9,1,49,2,2,0,21,15,8
Vertonghen,DEF,5.9,0,30,1,1,0,4,3,1
Iheanacho,FWD,5.8,3,47,1,1,0,14,8,5
Townsend,MID,5.8,2,77,3,1,2,37,14,11
Mounie,FWD,5.8,3,44,1,1,0,38,33,18
Rondón,FWD,5.7,2,63,5,5,0,36,28,10
Sturridge,FWD,5.7,0,22,2,1,1,11,7,5
Barnes,FWD,5.7,1,55,4,4,0,28,21,14
Young,DEF,5.7,2,42,1,1,0,7,5,2
Ayew,FWD,5.7,1,32,1,1,0,14,12,2
Schürrle,MID,5.6,0,69,6,5,1,49,15,16
Muto,FWD,5.6,0,20,1,1,0,6,6,3
Gudmundsson,MID,5.6,4,65,2,2,0,21,9,7
Smalling,DEF,5.6,0,35,1,1,0,7,8,3
Milner,MID,5.6,2,63,3,2,1,12,5,5
Gabbiadini,FWD,5.6,0,23,1,1,0,21,9,8
Wijnaldum,MID,5.5,0,60,1,1,0,19,12,6
Ings,FWD,5.5,1,68,7,7,0,37,31,17
Austin,FWD,5.5,0,29,2,2,0,24,17,7
Fabinho,MID,5.5,2,35,1,1,0,10,4,4
Deulofeu,MID,5.5,3,55,3,3,0,24,17,6
Maguire,DEF,5.4,0,60,2,1,1,17,14,10
Iwobi,MID,5.4,4,55,2,2,0,18,15,7
Gündogan,MID,5.4,2,62,4,3,1,22,13,8
